Garment,Fabric_Type,Fabric_m,Price_per_m,Material_Cost_ZAR,Total_Cost_ZAR
Blouse,Nylon,1.7,64,108.8,180.31
Blouse,Polyester,1.3,55,71.5,146.13
Blouse,Polyester,1.8,62,111.6,140.73
Blouse,Silk,1.4,152,212.8,218.27
Blouse,Silk,1.9,166,315.4,435.87
Blouse,Wool,1.6,192,307.2,422.33
Blouse,Wool,2.1,202,424.2,377.61
Dress,Cotton,2.5,72,180.0,283.63
Dress,Cotton,4.2,110,462.0,674.31
Dress,Cotton,4.5,115,517.5,612.7
Dress,Denim,2.6,102,265.2,468.84
Dress,Denim,4.2,128,537.6,511.2
Dress,Denim,4.5,132,594.0,532.07
Dress,Nylon,2.4,60,144.0,88.76
Dress,Nylon,4.0,85,340.0,528.9
Dress,Nylon,4.2,88,369.6,523.98
Dress,Polyester,2.5,55,137.5,244.31
Dress,Polyester,4.1,78,319.8,411.93
Dress,Polyester,4.3,80,344.0,331.06
Dress,Silk,2.6,145,377.0,666.58
Dress,Silk,4.2,195,819.0,890.75
Dress,Silk,4.5,200,900.0,1010.26
Dress,Wool,2.9,195,565.5,711.27
Dress,Wool,4.2,245,1029.0,1156.3
Dress,Wool,4.5,250,1125.0,1202.9
Shirt,Cotton,1.3,68,88.4,137.74
Shirt,Cotton,2.6,95,247.0,327.58
Shirt,Cotton,2.8,98,274.4,458.43
Shirt,Denim,1.7,95,161.5,325.04
Shirt,Denim,2.7,118,318.6,534.83
Shirt,Denim,2.9,120,348.0,356.42
Shirt,Nylon,1.3,50,65.0,50.0
Shirt,Nylon,2.4,70,168.0,197.51
Shirt,Nylon,2.6,72,187.2,266.41
Shirt,Polyester,1.4,50,70.0,254.58
Shirt,Polyester,2.6,68,176.8,107.07
Shirt,Polyester,2.8,70,196.0,381.43
Shirt,Silk,1.5,148,222.0,241.08
Shirt,Silk,2.5,178,445.0,510.78
Shirt,Silk,2.7,182,491.4,529.02
Shirt,Wool,1.6,185,296.0,245.11
Shirt,Wool,2.7,218,588.6,747.72
Shirt,Wool,2.9,222,643.8,679.33
Suit,Cotton,3.6,82,295.2,242.85
Suit,Cotton,5.2,115,598.0,561.26
Suit,Cotton,5.4,118,637.2,657.86
Suit,Denim,3.8,105,399.0,554.96
Suit,Denim,5.3,128,678.4,715.81
Suit,Denim,5.5,132,726.0,729.56
Suit,Nylon,3.5,65,227.5,270.95
Suit,Nylon,4.8,85,408.0,425.42
Suit,Nylon,5.0,88,440.0,319.47
Suit,Polyester,3.4,62,210.8,231.7
Suit,Polyester,4.9,80,392.0,439.57
Suit,Polyester,5.1,82,418.2,531.74
Suit,Silk,4.1,165,676.5,927.04
Suit,Silk,5.4,192,1036.8,1205.82
Suit,Silk,5.6,198,1108.8,1206.51
Suit,Wool,4.0,200,800.0,807.49
Suit,Wool,5.5,235,1292.5,1564.71
Suit,Wool,5.8,242,1403.6,1479.07
Skirt,Cotton,1.8,72,129.6,196.65
Skirt,Cotton,3.2,98,313.6,337.78
Skirt,Cotton,3.4,100,340.0,384.95
Skirt,Denim,2.0,98,196.0,265.11
Skirt,Denim,3.2,118,377.6,421.31
Skirt,Denim,3.4,120,408.0,410.73
Skirt,Nylon,1.7,58,98.6,127.13
Skirt,Nylon,2.8,72,201.6,205.59
Skirt,Nylon,3.0,75,225.0,202.2
Skirt,Polyester,1.6,52,83.2,153.23
Skirt,Polyester,2.9,68,197.2,247.96
Skirt,Polyester,3.1,70,217.0,386.5
Skirt,Silk,2.1,148,310.8,175.74
Skirt,Silk,3.5,175,612.5,766.87
Skirt,Silk,3.6,178,640.8,841.84
Skirt,Wool,2.0,192,384.0,326.53
Skirt,Wool,3.3,222,732.6,738.74
Skirt,Wool,3.4,225,765.0,844.97
Trousers,Cotton,1.5,75,112.5,79.28
Trousers,Cotton,2.7,95,256.5,273.8
Trousers,Cotton,2.9,98,284.2,223.39
Trousers,Denim,1.6,98,156.8,383.04
Trousers,Denim,2.8,118,330.4,516.01
Trousers,Denim,3.0,120,360.0,523.96
Trousers,Nylon,1.5,58,87.0,167.46
Trousers,Nylon,2.6,72,187.2,131.99
Trousers,Nylon,2.8,75,210.0,281.42
Trousers,Polyester,1.6,52,83.2,193.13
Trousers,Polyester,2.7,68,183.6,197.37
Trousers,Polyester,2.9,70,203.0,320.81
Trousers,Silk,1.9,152,288.8,312.66
Trousers,Silk,3.2,178,569.6,588.31
Trousers,Silk,3.4,182,618.8,748.45
Trousers,Wool,1.8,192,345.6,424.13
Trousers,Wool,3.1,222,688.2,704.96
Trousers,Wool,3.3,228,752.4,912.89
Jacket,Cotton,2.4,78,187.2,153.61
Jacket,Cotton,4.0,102,408.0,556.48
Jacket,Cotton,4.2,105,441.0,601.76
Jacket,Denim,2.6,102,265.2,296.84
Jacket,Denim,4.0,122,488.0,545.61
Jacket,Denim,4.2,125,525.0,527.58
Jacket,Nylon,2.3,65,149.5,273.23
Jacket,Nylon,3.7,80,296.0,331.05
Jacket,Nylon,3.9,82,319.8,391.35
Jacket,Polyester,2.4,62,148.8,263.97
Jacket,Polyester,3.8,78,296.4,329.24
Jacket,Polyester,4.0,80,320.0,312.71
Jacket,Silk,2.8,162,453.6,385.12
Jacket,Silk,4.2,185,777.0,934.73
Jacket,Silk,4.4,190,836.0,803.37
Jacket,Wool,2.7,202,545.4,775.83
Jacket,Wool,4.0,230,920.0,870.88
Jacket,Wool,4.2,235,987.0,1185.03
Blouse,Cotton,1.1,70,77.0,158.93
Blouse,Cotton,2.0,90,180.0,244.7
Blouse,Cotton,2.2,95,209.0,250.88
Blouse,Denim,1.3,95,123.5,210.62
Blouse,Denim,2.2,115,253.0,333.16
Blouse,Denim,2.4,118,283.2,472.46
Blouse,Nylon,1.0,52,52.0,168.62
Blouse,Nylon,1.8,65,117.0,154.34
Blouse,Nylon,2.0,68,136.0,149.56
Blouse,Polyester,1.1,50,55.0,150.7
Blouse,Polyester,1.9,62,117.8,242.03
Blouse,Polyester,2.1,65,136.5,67.44
Blouse,Silk,1.2,148,177.6,168.86
Blouse,Silk,2.1,172,361.2,446.29
Blouse,Silk,2.3,175,402.5,491.39
Blouse,Wool,1.4,188,263.2,275.32
Blouse,Wool,2.2,208,457.6,527.99
Blouse,Wool,2.4,212,508.8,645.03
Hoodie,Cotton,1.8,78,140.4,170.67
Hoodie,Cotton,2.9,95,275.5,268.76
Hoodie,Cotton,3.1,98,303.8,338.58
Hoodie,Denim,2.0,102,204.0,202.16
Hoodie,Denim,3.0,118,354.0,463.81
Hoodie,Denim,3.2,120,384.0,308.51
Hoodie,Nylon,1.7,62,105.4,206.07
Hoodie,Nylon,2.7,72,194.4,266.07
Hoodie,Nylon,2.9,75,217.5,259.82
Hoodie,Polyester,1.8,58,104.4,240.56
Hoodie,Polyester,2.8,68,190.4,425.09
Hoodie,Polyester,3.0,70,210.0,309.55
Hoodie,Silk,2.1,155,325.5,206.57
Hoodie,Silk,3.2,175,560.0,553.43
Hoodie,Silk,3.4,178,605.2,671.05
Hoodie,Wool,2.2,202,444.4,515.37
Hoodie,Wool,3.3,222,732.6,863.67
Hoodie,Wool,3.5,225,787.5,812.73
Coat,Cotton,3.0,85,255.0,323.09
Coat,Cotton,4.0,98,392.0,361.99
Coat,Cotton,4.5,102,459.0,455.85
Coat,Denim,3.3,108,356.4,352.24
Coat,Denim,4.3,118,507.4,492.73
Coat,Denim,4.6,122,561.2,528.19
Coat,Nylon,2.8,68,190.4,178.75
Coat,Nylon,3.9,78,304.2,429.72
Coat,Nylon,4.1,80,328.0,307.35
Coat,Polyester,2.9,62,179.8,475.46
Coat,Polyester,4.0,72,288.0,362.23
Coat,Polyester,4.2,75,315.0,375.95
Coat,Silk,3.4,168,571.2,554.42
Coat,Silk,4.5,185,832.5,920.35
Coat,Silk,4.8,190,912.0,986.56
Coat,Wool,3.2,208,665.6,740.81
Coat,Wool,4.3,225,967.5,1238.7
Coat,Wool,4.6,232,1067.2,1109.95
Jersey,Cotton,1.4,72,100.8,210.53
Jersey,Cotton,2.5,90,225.0,227.93
Jersey,Cotton,2.7,92,248.4,281.76
Jersey,Denim,1.6,98,156.8,348.44
Jersey,Denim,2.6,112,291.2,310.88
Jersey,Denim,2.8,115,322.0,523.78
Jersey,Nylon,1.3,55,71.5,233.91
Jersey,Nylon,2.2,68,149.6,174.15
Jersey,Nylon,2.4,70,168.0,273.73
Jersey,Polyester,1.4,52,72.8,169.2
Jersey,Polyester,2.3,65,149.5,245.43
Jersey,Polyester,2.5,68,170.0,100.5
Jersey,Silk,1.5,152,228.0,214.12
Jersey,Silk,2.5,172,430.0,505.32
Jersey,Silk,2.7,175,472.5,551.88
Jersey,Wool,1.7,192,326.4,404.24
Jersey,Wool,2.7,215,580.5,706.91
Jersey,Wool,2.9,218,632.2,586.42
Shorts,Cotton,1.2,72,86.4,152.09
Shorts,Cotton,2.1,88,184.8,339.88
Shorts,Cotton,2.3,90,207.0,321.25
Shorts,Denim,1.4,98,137.2,308.76
Shorts,Denim,2.3,112,257.6,340.53
Shorts,Denim,2.5,115,287.5,399.15
Shorts,Nylon,1.1,52,57.2,160.9
Shorts,Nylon,1.8,65,117.0,97.65
Shorts,Nylon,2.0,68,136.0,277.42
Shorts,Polyester,1.2,50,60.0,100.67
Shorts,Polyester,1.9,60,114.0,223.5
Shorts,Polyester,2.1,62,130.2,96.85
Shorts,Silk,1.3,148,192.4,201.82
Shorts,Silk,2.0,165,330.0,452.48
Shorts,Silk,2.2,168,369.6,471.61
Shorts,Wool,1.5,188,282.0,371.43
Shorts,Wool,2.2,205,451.0,490.14
Shorts,Wool,2.4,208,499.2,615.45
Tracksuit,Cotton,2.8,82,229.6,349.41
Tracksuit,Cotton,3.8,95,361.0,383.06
Tracksuit,Cotton,4.0,98,392.0,451.25
Tracksuit,Denim,3.0,105,315.0,373.11
Tracksuit,Denim,4.0,118,472.0,470.21
Tracksuit,Denim,4.2,120,504.0,593.67
Tracksuit,Nylon,2.6,65,169.0,231.76
Tracksuit,Nylon,3.6,75,270.0,291.87
Tracksuit,Nylon,3.8,78,296.4,419.17
Tracksuit,Polyester,2.7,60,162.0,134.49
Tracksuit,Polyester,3.7,70,259.0,339.9
Tracksuit,Polyester,3.9,72,280.8,295.61
Tracksuit,Silk,3.0,162,486.0,647.2
Tracksuit,Silk,4.0,178,712.0,807.83
Tracksuit,Silk,4.2,182,764.4,876.27
Tracksuit,Wool,3.2,208,665.6,574.49
Tracksuit,Wool,4.2,225,945.0,1036.15
Tracksuit,Wool,4.4,230,1012.0,1142.14
Dress,Cotton,2.4,70,168.0,247.21
Dress,Cotton,4.3,112,481.6,599.01
Dress,Denim,2.5,100,250.0,232.96
Dress,Denim,4.3,130,559.0,691.36
Dress,Nylon,2.3,58,133.4,368.89
Dress,Nylon,4.1,86,352.6,426.22
Dress,Polyester,2.4,52,124.8,148.18
Dress,Polyester,4.2,79,331.8,497.48
Dress,Silk,2.5,142,355.0,551.21
Dress,Silk,4.3,198,851.4,863.94
Dress,Wool,2.8,192,537.6,583.89
Dress,Wool,4.3,248,1066.4,1159.13
Shirt,Cotton,1.2,66,79.2,50.0
Shirt,Cotton,2.5,94,235.0,252.67
Shirt,Denim,1.6,92,147.2,172.42
Shirt,Denim,2.6,116,301.6,330.66
Shirt,Nylon,1.2,48,57.6,171.98
Shirt,Nylon,2.3,69,158.7,288.38
Shirt,Polyester,1.3,48,62.4,286.41
Shirt,Polyester,2.5,67,167.5,133.16
Shirt,Silk,1.4,146,204.4,363.68
Shirt,Silk,2.4,176,422.4,469.25
Shirt,Wool,1.5,182,273.0,294.27
Shirt,Wool,2.6,216,561.6,673.53
Suit,Cotton,3.5,80,280.0,239.27
Suit,Cotton,5.1,114,581.4,686.26
Suit,Denim,3.7,102,377.4,493.96
Suit,Denim,5.2,126,655.2,766.36
Suit,Nylon,3.4,62,210.8,267.62
Suit,Nylon,4.7,84,394.8,694.1
Suit,Polyester,3.3,60,198.0,182.87
Suit,Polyester,4.8,79,379.2,397.13
Suit,Silk,4.0,162,648.0,647.97
Suit,Silk,5.3,190,1007.0,1080.08
Suit,Wool,3.9,198,772.2,835.1
Suit,Wool,5.3,232,1229.6,1389.33
Skirt,Cotton,1.7,70,119.0,294.2
Skirt,Cotton,3.1,96,297.6,282.53
Skirt,Denim,1.9,96,182.4,196.58
Skirt,Denim,3.1,116,359.6,459.18
Skirt,Nylon,1.6,56,89.6,88.92
Skirt,Nylon,2.7,71,191.7,290.47
Skirt,Polyester,1.5,50,75.0,178.31
Skirt,Polyester,2.8,67,187.6,179.21
Skirt,Silk,2.0,146,292.0,496.79
Skirt,Silk,3.2,174,556.8,753.33
Skirt,Wool,1.9,190,361.0,386.75
Skirt,Wool,3.2,220,704.0,789.74
Trousers,Cotton,1.4,72,100.8,200.37
Trousers,Cotton,2.6,94,244.4,362.64
Trousers,Denim,1.5,96,144.0,251.7
Trousers,Denim,2.7,116,313.2,498.91
Trousers,Nylon,1.4,56,78.4,155.05
Trousers,Nylon,2.5,71,177.5,165.25
Trousers,Polyester,1.5,50,75.0,50.0
Trousers,Polyester,2.6,67,174.2,221.04
Trousers,Silk,1.8,150,270.0,296.5
Trousers,Silk,3.1,176,545.6,792.03
Trousers,Wool,1.7,190,323.0,331.94
Trousers,Wool,3.0,220,660.0,774.89
Jacket,Cotton,2.3,76,174.8,227.56
Jacket,Cotton,3.9,100,390.0,504.69
Jacket,Denim,2.5,100,250.0,471.7
Jacket,Denim,3.9,120,468.0,484.94
Jacket,Nylon,2.2,62,136.4,195.46
Jacket,Nylon,3.6,79,284.4,475.2
Jacket,Polyester,2.3,60,138.0,227.46
Jacket,Polyester,3.7,77,284.9,510.27
Jacket,Silk,2.7,160,432.0,503.07
Jacket,Silk,3.7,180,666.0,665.89
Jacket,Wool,2.6,200,520.0,667.58
Jacket,Wool,3.7,226,836.2,985.87
Blouse,Cotton,1.0,68,68.0,152.92
Blouse,Cotton,1.9,88,167.2,275.48
Blouse,Denim,1.2,92,110.4,294.9
Blouse,Denim,2.1,114,239.4,413.64
Blouse,Nylon,0.9,50,45.0,213.31
Blouse,Nylon,1.7,64,108.8,184.76
Blouse,Polyester,1.0,48,48.0,141.39
Blouse,Polyester,1.8,61,109.8,155.87
Blouse,Silk,1.1,146,160.6,347.65
Blouse,Silk,2.0,170,340.0,364.35
Blouse,Wool,1.3,186,241.8,297.62
Blouse,Wool,2.1,206,432.6,481.92
Dress,Cotton,2.3,68,156.4,255.57
Dress,Cotton,4.4,118,519.2,711.68
Dress,Cotton,4.7,120,564.0,668.42
Dress,Denim,2.4,98,235.2,272.7
Dress,Denim,4.4,135,594.0,581.37
Dress,Denim,4.7,138,648.6,821.92
Dress,Nylon,2.2,55,121.0,229.71
Dress,Nylon,4.3,90,387.0,591.26
Dress,Nylon,4.5,92,414.0,433.77
Dress,Polyester,2.3,50,115.0,194.54
Dress,Polyester,4.4,82,360.8,399.62
Dress,Polyester,4.6,85,391.0,539.05
Dress,Silk,2.4,140,336.0,427.81
Dress,Silk,4.4,200,880.0,992.06
Dress,Silk,4.7,205,963.5,1084.38
Dress,Wool,2.7,190,513.0,635.08
Dress,Wool,4.4,250,1100.0,1135.31
Dress,Wool,4.7,255,1198.5,1244.15
Shirt,Cotton,1.1,65,71.5,260.52
Shirt,Cotton,2.7,98,264.6,287.13
Shirt,Cotton,2.9,100,290.0,379.03
Shirt,Denim,1.5,92,138.0,130.16
Shirt,Denim,2.8,120,336.0,523.19
Shirt,Denim,3.0,122,366.0,311.05
Shirt,Nylon,1.1,48,52.8,65.62
Shirt,Nylon,2.5,72,180.0,250.47
Shirt,Nylon,2.7,75,202.5,382.65
Shirt,Polyester,1.2,48,57.6,77.64
Shirt,Polyester,2.7,70,189.0,235.1
Shirt,Polyester,2.9,72,208.8,412.77
Shirt,Silk,1.3,145,188.5,123.22
Shirt,Silk,2.6,180,468.0,339.06
Shirt,Silk,2.8,185,518.0,632.21
Shirt,Wool,1.4,180,252.0,246.11
Shirt,Wool,2.8,220,616.0,600.93
Shirt,Wool,3.0,225,675.0,825.46
Suit,Cotton,3.4,78,265.2,330.6
Suit,Cotton,5.3,118,625.4,619.83
Suit,Cotton,5.6,120,672.0,653.38
Suit,Denim,3.6,100,360.0,504.84
Suit,Denim,5.4,130,702.0,833.07
Suit,Denim,5.7,135,769.5,838.02
Suit,Nylon,3.3,62,204.6,454.96
Suit,Nylon,4.9,88,431.2,420.44
Suit,Nylon,5.2,90,468.0,427.87
Suit,Polyester,3.2,58,185.6,179.38
Suit,Polyester,5.0,82,410.0,457.56
Suit,Polyester,5.3,85,450.5,496.86
Suit,Silk,3.9,160,624.0,720.79
Suit,Silk,5.5,195,1072.5,1202.07
Suit,Silk,5.8,200,1160.0,1176.55
Suit,Wool,3.8,195,741.0,965.96
Suit,Wool,5.6,238,1332.8,1413.6
Suit,Wool,5.9,245,1445.5,1594.82
Skirt,Cotton,1.6,68,108.8,251.66
Skirt,Cotton,3.3,100,330.0,450.47
Skirt,Cotton,3.5,102,357.0,445.0
Skirt,Denim,1.8,95,171.0,231.79
Skirt,Denim,3.3,120,396.0,469.5
Skirt,Denim,3.5,122,427.0,626.31
Skirt,Nylon,1.5,55,82.5,140.33
Skirt,Nylon,2.9,75,217.5,338.01
Skirt,Nylon,3.1,78,241.8,348.03
Skirt,Polyester,1.4,50,70.0,242.68
Skirt,Polyester,3.0,70,210.0,190.95
Skirt,Polyester,3.2,72,230.4,454.31
Skirt,Silk,1.9,145,275.5,316.47
Skirt,Silk,3.6,178,640.8,571.82
Skirt,Silk,3.8,180,684.0,794.67
Skirt,Wool,1.8,188,338.4,388.0
Skirt,Wool,3.4,225,765.0,913.44
Skirt,Wool,3.6,228,820.8,864.55
Trousers,Cotton,1.3,70,91.0,121.33
Trousers,Cotton,2.8,98,274.4,197.8
Trousers,Cotton,3.0,100,300.0,347.87
Trousers,Denim,1.4,95,133.0,50.0
Trousers,Denim,2.9,120,348.0,324.47
Trousers,Denim,3.1,122,378.2,509.59
Trousers,Nylon,1.3,55,71.5,224.8
Trousers,Nylon,2.7,75,202.5,272.61
Trousers,Nylon,2.9,78,226.2,207.22
Trousers,Polyester,1.4,50,70.0,138.4
Trousers,Polyester,2.8,70,196.0,240.73
Trousers,Polyester,3.0,72,216.0,161.58
Trousers,Silk,1.7,148,251.6,429.06
Trousers,Silk,3.3,180,594.0,723.21
Trousers,Silk,3.5,185,647.5,737.82
Trousers,Wool,1.6,188,300.8,386.83
Trousers,Wool,3.2,225,720.0,805.73
Trousers,Wool,3.4,230,782.0,689.91
Jacket,Cotton,2.2,75,165.0,251.35
Jacket,Cotton,4.1,105,430.5,421.03
Jacket,Cotton,4.3,108,464.4,463.81
Jacket,Denim,2.4,98,235.2,251.99
Jacket,Denim,4.1,125,512.5,749.17
Jacket,Denim,4.3,128,550.4,693.76
Jacket,Nylon,2.1,62,130.2,161.09
Jacket,Nylon,3.8,82,311.6,465.81
Jacket,Nylon,4.0,85,340.0,556.61
Jacket,Polyester,2.2,60,132.0,280.78
Jacket,Polyester,3.9,80,312.0,394.5
Jacket,Polyester,4.1,82,336.2,339.38
Jacket,Silk,2.6,158,410.8,501.49
Jacket,Silk,4.3,188,808.4,885.1
Jacket,Silk,4.5,192,864.0,1002.56
Jacket,Wool,2.5,198,495.0,610.94
Jacket,Wool,4.1,235,963.5,1098.71
Jacket,Wool,4.3,240,1032.0,1036.61
Blouse,Cotton,0.9,65,58.5,275.92
Blouse,Cotton,2.1,92,193.2,325.11
Blouse,Cotton,2.3,95,218.5,493.12
Blouse,Denim,1.1,90,99.0,105.99
Blouse,Denim,2.3,118,271.4,501.41
Blouse,Denim,2.5,120,300.0,371.94
Blouse,Nylon,0.8,48,38.4,85.24
Blouse,Nylon,1.9,68,129.2,198.68
Blouse,Nylon,2.1,70,147.0,195.82
Blouse,Polyester,0.9,46,41.4,114.41
Blouse,Polyester,2.0,65,130.0,204.46
Blouse,Polyester,2.2,68,149.6,153.3
Blouse,Silk,1.0,142,142.0,194.16
Blouse,Silk,2.2,175,385.0,625.67
Blouse,Silk,2.4,178,427.2,621.57
Blouse,Wool,1.2,185,222.0,319.93
Blouse,Wool,2.3,210,483.0,576.87
Blouse,Wool,2.5,215,537.5,620.56
Hoodie,Cotton,1.6,75,120.0,271.3
Hoodie,Cotton,3.0,98,294.0,320.81
Hoodie,Cotton,3.2,100,320.0,345.58
Hoodie,Denim,1.8,100,180.0,158.08
Hoodie,Denim,3.1,120,372.0,446.13
Hoodie,Denim,3.3,122,402.6,535.44
Hoodie,Nylon,1.5,60,90.0,78.53
Hoodie,Nylon,2.8,75,210.0,370.79
Hoodie,Nylon,3.0,78,234.0,224.49
Hoodie,Polyester,1.6,55,88.0,83.49
Hoodie,Polyester,2.9,70,203.0,281.94
Hoodie,Polyester,3.1,72,223.2,344.22
Hoodie,Silk,1.9,152,288.8,530.88
Hoodie,Silk,3.3,178,587.4,601.77
Hoodie,Silk,3.5,180,630.0,807.41
Hoodie,Wool,2.0,200,400.0,434.09
Hoodie,Wool,3.4,225,765.0,857.97
Hoodie,Wool,3.6,228,820.8,985.49
Coat,Cotton,2.8,82,229.6,394.83
Coat,Cotton,4.1,100,410.0,331.03
Coat,Cotton,4.6,105,483.0,670.43
Coat,Denim,3.1,105,325.5,471.65
Coat,Denim,4.4,120,528.0,590.79
Coat,Denim,4.7,125,587.5,681.37
Coat,Nylon,2.6,65,169.0,269.28
Coat,Nylon,4.0,80,320.0,440.67
Coat,Nylon,4.2,82,344.4,409.87
Coat,Polyester,2.7,60,162.0,177.31
Coat,Polyester,4.1,75,307.5,364.57
Coat,Polyester,4.3,78,335.4,493.9
Coat,Silk,3.2,165,528.0,630.02
Coat,Silk,4.6,188,864.8,862.83
Coat,Silk,4.9,192,940.8,1068.04
Coat,Wool,3.0,205,615.0,467.03
Coat,Wool,4.4,228,1003.2,1192.89
Coat,Wool,4.7,235,1104.5,1083.21
Jersey,Cotton,1.2,68,81.6,79.25
Jersey,Cotton,2.6,92,239.2,264.7
Jersey,Cotton,2.8,95,266.0,196.29
Jersey,Denim,1.4,95,133.0,296.61
Jersey,Denim,2.7,115,310.5,325.2
Jersey,Denim,2.9,118,342.2,408.35
Jersey,Nylon,1.1,52,57.2,162.66
Jersey,Nylon,2.3,70,161.0,256.0
Jersey,Nylon,2.5,72,180.0,249.8
Jersey,Polyester,1.2,50,60.0,59.18
Jersey,Polyester,2.4,68,163.2,306.39
Jersey,Polyester,2.6,70,182.0,250.74
Jersey,Silk,1.3,148,192.4,113.93
Jersey,Silk,2.6,175,455.0,533.69
Jersey,Silk,2.8,178,498.4,647.66
Jersey,Wool,1.5,188,282.0,393.16
Jersey,Wool,2.8,218,610.4,644.09
Jersey,Wool,3.0,220,660.0,718.64
Shorts,Cotton,1.0,68,68.0,87.73
Shorts,Cotton,2.2,90,198.0,431.73
Shorts,Cotton,2.4,92,220.8,309.62
Shorts,Denim,1.2,95,114.0,171.45
Shorts,Denim,2.4,115,276.0,447.75
Shorts,Denim,2.6,118,306.8,381.82
Shorts,Nylon,0.9,50,45.0,50.45
Shorts,Nylon,1.9,68,129.2,178.38
Shorts,Nylon,2.1,70,147.0,235.6
Shorts,Polyester,1.0,48,48.0,78.19
Shorts,Polyester,2.0,62,124.0,263.91
Shorts,Polyester,2.2,65,143.0,205.92
Shorts,Silk,1.1,145,159.5,236.79
Shorts,Silk,2.1,168,352.8,464.71
Shorts,Silk,2.3,170,391.0,512.93
Shorts,Wool,1.3,185,240.5,132.7
Shorts,Wool,2.3,208,478.4,585.55
Shorts,Wool,2.5,212,530.0,593.15
Tracksuit,Cotton,2.6,80,208.0,366.32
Tracksuit,Cotton,3.9,98,382.2,270.63
Tracksuit,Cotton,4.1,100,410.0,621.61
Tracksuit,Denim,2.8,102,285.6,356.07
Tracksuit,Denim,4.1,120,492.0,595.63
Tracksuit,Denim,4.3,122,524.6,565.12
Tracksuit,Nylon,2.4,62,148.8,239.04
Tracksuit,Nylon,3.7,78,288.6,273.1
Tracksuit,Nylon,3.9,80,312.0,332.93
Tracksuit,Polyester,2.5,58,145.0,406.45
Tracksuit,Polyester,3.8,72,273.6,367.21
Tracksuit,Polyester,4.0,75,300.0,351.41
Tracksuit,Silk,2.8,158,442.4,625.06
Tracksuit,Silk,4.1,180,738.0,887.41
Tracksuit,Silk,4.3,185,795.5,844.85
Tracksuit,Wool,3.0,205,615.0,684.54
Tracksuit,Wool,4.3,228,980.4,1263.78
Tracksuit,Wool,4.5,232,1044.0,1083.65
Dress,Cotton,2.2,66,145.2,195.38
Dress,Cotton,4.6,120,552.0,704.29
Dress,Denim,2.3,96,220.8,396.23
Dress,Denim,4.6,140,644.0,753.58
Dress,Nylon,2.1,52,109.2,218.4
Dress,Nylon,4.4,92,404.8,356.54
Dress,Polyester,2.2,48,105.6,344.87
Dress,Polyester,4.5,86,387.0,353.49
Dress,Silk,2.3,138,317.4,439.24
Dress,Silk,4.5,202,909.0,926.08
Dress,Wool,2.6,188,488.8,520.96
Dress,Wool,4.5,252,1134.0,1211.81
Shirt,Cotton,1.0,62,62.0,194.25
Shirt,Cotton,2.6,96,249.6,345.44
Shirt,Denim,1.4,90,126.0,272.78
Shirt,Denim,2.7,118,318.6,392.83
Shirt,Nylon,1.0,46,46.0,116.57
Shirt,Nylon,2.4,70,168.0,355.76
Shirt,Polyester,1.1,46,50.6,207.37
Shirt,Polyester,2.6,68,176.8,142.16
Shirt,Silk,1.2,142,170.4,265.48
Shirt,Silk,2.5,178,445.0,526.92
Shirt,Wool,1.3,178,231.4,257.94
Shirt,Wool,2.7,218,588.6,729.42
Suit,Cotton,3.3,76,250.8,318.48
Suit,Cotton,5.2,116,603.2,719.68
Suit,Denim,3.5,98,343.0,421.94
Suit,Denim,5.3,128,678.4,793.58
Suit,Nylon,3.2,60,192.0,143.27
Suit,Nylon,4.8,86,412.8,327.12
Suit,Polyester,3.1,56,173.6,375.93
Suit,Polyester,4.9,80,392.0,387.08
Suit,Silk,3.8,158,600.4,553.58
Suit,Silk,5.4,192,1036.8,902.29
Suit,Wool,3.7,192,710.4,707.18
Suit,Wool,5.5,235,1292.5,1215.65
Skirt,Cotton,1.5,66,99.0,322.92
Skirt,Cotton,3.2,98,313.6,424.81
Skirt,Denim,1.7,92,156.4,138.47
Skirt,Denim,3.2,118,377.6,665.59
Skirt,Nylon,1.4,52,72.8,217.89
Skirt,Nylon,2.8,72,201.6,265.09
Skirt,Polyester,1.3,48,62.4,50.0
Skirt,Polyester,2.9,68,197.2,409.09
Skirt,Silk,1.8,142,255.6,248.73
Skirt,Silk,3.5,176,616.0,528.83
Skirt,Wool,1.7,185,314.5,412.67
Skirt,Wool,3.3,222,732.6,1028.72
Trousers,Cotton,1.2,68,81.6,218.07
Trousers,Cotton,2.7,96,259.2,324.76
Trousers,Denim,1.3,92,119.6,225.48
Trousers,Denim,2.8,118,330.4,487.81
Trousers,Nylon,1.2,52,62.4,199.67
Trousers,Nylon,2.6,72,187.2,322.42
Trousers,Polyester,1.3,48,62.4,97.26
Trousers,Polyester,2.7,68,183.6,264.88
Trousers,Silk,1.6,145,232.0,257.1
Trousers,Silk,3.2,178,569.6,576.42
Trousers,Wool,1.5,185,277.5,262.74
Trousers,Wool,3.1,222,688.2,710.78
Jacket,Cotton,2.1,72,151.2,194.59
Jacket,Cotton,4.0,102,408.0,385.71
Jacket,Denim,2.3,96,220.8,266.38
Jacket,Denim,4.0,122,488.0,648.05
Jacket,Nylon,2.0,60,120.0,221.3
Jacket,Nylon,3.7,80,296.0,208.48
Jacket,Polyester,2.1,58,121.8,103.11
Jacket,Polyester,3.8,78,296.4,460.4
Jacket,Silk,2.5,155,387.5,405.35
Jacket,Silk,4.0,182,728.0,782.05
